Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
21	-52.18844	11.13578	-35.711468	-79.21401	-52.69688	13.214756	-36.369392	-85.42666	100.0	100.0	31499	-39.21033	24.198755	-15.004928	-441.46774	-39.21109	24.19928	-15.552915	-441.29684	-0.45365396	1.433316	8.3947115	-10.844697	37.537807	2.7837875	161.98595643043518
22	-58.28016	13.355296	-32.467045	-80.07672	-55.14629	13.344683	-24.364376	-73.04126	100.0	100.0	32999	-39.146343	23.309792	-14.557526	-465.18936	-39.146145	23.303766	-15.121658	-455.77756	-0.47143406	1.4165825	9.910915	-8.592526	37.584957	2.9369478	169.87966680526733
23	-59.800083	12.853047	-35.52787	-85.43242	-51.412	13.281616	-34.226578	-78.08888	100.0	100.0	34499	-39.385506	23.393131	-14.072148	-451.37738	-39.385277	23.391314	-14.263455	-454.16995	-0.48377475	1.4023837	9.377112	-9.394651	37.881104	2.7447913	177.84587931632996
24	-52.585636	11.336961	-24.895605	-70.25547	-52.46034	21.612648	-12.899344	-94.79297	100.0	100.0	35999	-39.374504	23.200403	-13.684635	-471.99762	-39.374477	23.197699	-13.902905	-456.02258	-0.49173427	1.3930069	10.344972	-9.051729	37.897057	3.034767	185.70729994773865
25	-59.709553	16.467201	-34.31782	-96.28026	-37.166714	12.809036	-11.698763	-55.063717	100.0	100.0	37499	-39.347443	22.765036	-13.088026	-440.09555	-39.34713	22.762808	-13.404976	-445.10413	-0.5030834	1.379452	11.09619	-10.0461035	37.918728	2.820153	193.66125559806824
26	-52.67355	10.149371	-31.096731	-64.50577	-41.163555	13.253286	-16.355938	-69.79402	100.0	100.0	38999	-39.272385	22.258242	-12.836218	-437.4544	-39.272842	22.25621	-12.42109	-434.9596	-0.51593864	1.367403	8.22831	-10.090832	37.89351	2.7691374	201.48767614364624
27	-52.004803	15.141239	-32.463444	-81.90585	-37.276722	11.780827	-19.239176	-61.965363	100.0	100.0	40499	-39.23577	22.499926	-12.191153	-463.51846	-39.235806	22.495	-11.727238	-498.78525	-0.5256447	1.3629779	8.893637	-7.7974076	37.883965	3.4617305	209.34295916557312
28	-49.33318	22.297485	-23.821657	-98.95435	-49.403103	19.07041	-18.91456	-84.52632	100.0	100.0	41999	-39.07881	22.264235	-11.059206	-480.46072	-39.07818	22.262074	-10.846511	-466.8622	-0.530544	1.3523593	8.962245	-8.038623	37.73649	2.9729273	217.06708002090454
29	-52.289112	6.570732	-40.117634	-64.08983	-40.46216	13.634694	-25.09464	-73.47752	100.0	100.0	43499	-38.889206	21.494621	-10.271182	-437.18915	-38.890167	21.487373	-9.825219	-439.9736	-0.5458047	1.3323879	8.373721	-8.572065	37.61226	2.925196	224.72720575332642
30	-50.912716	18.192135	-25.998316	-100.114876	-42.640022	12.639141	-25.537611	-61.033344	100.0	100.0	44999	-38.595726	21.696095	-9.2454195	-461.74197	-38.59594	21.692764	-8.8018465	-471.8628	-0.54794914	1.3255358	7.6308584	-10.474648	37.36418	2.8959055	232.36955213546753
31	-49.406075	11.441148	-25.484516	-70.10845	-32.90963	15.665422	-18.815088	-63.00891	100.0	100.0	46499	-38.32247	21.615435	-8.433333	-473.1197	-38.322353	21.610407	-7.879793	-460.9635	-0.5483239	1.321944	8.383013	-9.8978195	37.11073	2.8906438	240.3343005180359
