Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
25	-484.61084	10.162933	-470.6844	-502.20508	-479.36932	17.41845	-443.5172	-502.83932	100.0	100.0	37499	-97.31812	2.3430178	-86.72768	-107.40155	-97.31799	2.3548481	-86.8813	-106.86138	97.20817	0.33847743	119.25124883651733
26	-478.70062	13.721003	-447.15424	-497.78018	-467.63287	20.422606	-422.06308	-491.93927	100.0	100.0	38999	-97.452614	2.3692195	-86.81379	-107.49844	-97.452614	2.3819535	-86.80368	-107.00899	97.34846	0.3405078	124.13509702682495
27	-486.62338	12.531367	-456.20813	-502.6966	-471.9937	19.305532	-443.20602	-503.25732	100.0	100.0	40499	-97.58481	2.4043198	-87.06353	-107.78554	-97.58472	2.4167554	-86.96448	-107.630554	97.47952	0.33638573	128.8294632434845
28	-466.1001	21.861345	-404.98068	-495.31403	-479.46005	11.690049	-455.99106	-498.4276	100.0	100.0	41999	-97.68699	2.4540334	-87.17746	-108.29799	-97.686966	2.4665694	-86.94077	-107.803154	97.59019	0.33876696	133.57364988327026
29	-471.46146	13.921495	-442.8395	-490.20032	-476.80792	12.55822	-454.76526	-497.19614	100.0	100.0	43499	-97.70236	2.4835217	-87.250114	-108.425255	-97.70218	2.4957473	-87.03263	-108.35524	97.603806	0.34505633	138.5038697719574
30	-472.35364	13.507196	-449.8495	-497.97455	-465.03912	16.193718	-438.1259	-485.7906	100.0	100.0	44999	-97.7151	2.5103533	-87.33506	-108.99327	-97.715225	2.5220678	-87.24772	-108.12501	97.61457	0.34829158	143.67427253723145
31	-477.24005	14.585485	-449.07584	-494.15854	-488.0312	4.5720735	-480.04947	-495.48856	100.0	100.0	46499	-97.72646	2.5243087	-87.55091	-108.95268	-97.72633	2.5355544	-87.47152	-108.456894	97.62081	0.34675252	148.64419555664062
32	-469.83752	11.579629	-438.6446	-492.2711	-483.83316	9.993729	-463.84796	-497.9799	100.0	100.0	47999	-97.7129	2.5454175	-87.64768	-109.38268	-97.71285	2.5556142	-87.43962	-108.19535	97.60396	0.35510468	153.58799767494202
33	-480.04416	15.28954	-455.1753	-501.8079	-480.5315	15.432198	-449.3812	-498.44193	100.0	100.0	49499	-97.67901	2.5824342	-87.49534	-109.56353	-97.67894	2.5916057	-87.59687	-108.82275	97.576645	0.34476635	158.57652974128723
34	-474.54425	14.546238	-437.48923	-495.1883	-472.3681	26.82972	-412.7226	-503.81696	100.0	100.0	50999	-97.635506	2.5983953	-87.79603	-109.28082	-97.63551	2.6087716	-87.657425	-108.64882	97.52786	0.343611	163.8478753566742
35	-469.73557	16.630955	-443.7531	-503.59555	-473.71436	16.193306	-441.7936	-493.36813	100.0	100.0	52499	-97.59896	2.6227748	-87.91026	-109.0083	-97.59893	2.6325328	-87.70479	-107.99427	97.4906	0.33858675	168.72814202308655
36	-472.8097	26.844492	-390.95413	-502.57086	-480.03583	17.394167	-431.93362	-496.1262	100.0	100.0	53999	-97.54324	2.6499844	-87.79268	-109.98621	-97.5433	2.6598327	-87.72591	-108.84518	97.44403	0.33639678	173.59519362449646
37	-478.82227	21.186897	-416.75757	-500.7001	-459.41446	27.65619	-387.37213	-496.43573	100.0	100.0	55499	-97.53857	2.6895096	-88.10747	-110.105774	-97.53842	2.7002568	-87.74169	-109.61704	97.432106	0.34100366	178.7799038887024
38	-475.5908	15.981605	-442.37125	-499.04388	-458.09442	35.82979	-380.2577	-504.89948	100.0	100.0	56999	-97.52852	2.7209377	-88.06487	-109.8928	-97.528534	2.7306721	-87.50531	-108.92013	97.42523	0.34118092	183.82172322273254
39	-464.44022	23.227484	-419.04257	-499.62833	-462.95517	29.46104	-402.96487	-500.70392	100.0	100.0	58499	-97.473175	2.7629406	-88.053604	-110.3013	-97.47307	2.7743678	-87.889175	-109.03862	97.384346	0.33963984	188.51174974441528
40	-456.75006	33.371758	-376.7264	-496.1483	-472.54913	18.804556	-442.23935	-497.0932	100.0	100.0	59999	-97.423195	2.818597	-88.06198	-110.297165	-97.423164	2.8281064	-88.01692	-109.08961	97.34155	0.3478113	193.7320168018341
41	-476.833	13.756769	-448.69873	-496.39716	-462.45688	27.78191	-405.14764	-491.6032	100.0	100.0	61499	-97.3783	2.8544443	-87.9857	-110.14084	-97.37827	2.8638742	-87.95202	-109.69563	97.28401	0.355394	198.9417667388916
42	-467.1533	18.656712	-436.47858	-494.90335	-459.20166	24.13741	-400.30334	-487.96262	100.0	100.0	62999	-97.33814	2.8977423	-87.993225	-110.776405	-97.33801	2.9067614	-87.880226	-110.161995	97.23939	0.3529545	203.99908423423767
43	-468.03217	23.169758	-398.7175	-499.07526	-467.8644	27.893988	-418.62607	-496.01782	100.0	100.0	64499	-97.268196	2.9314427	-87.68087	-110.21365	-97.26824	2.9416473	-87.64699	-109.114075	97.17396	0.36006185	208.79415130615234
