Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
20	-181.01285	6.0730996	-170.30891	-191.08383	-176.24959	7.5837345	-166.1207	-192.20944	100.0	100.0	29999	-124.759186	2.3244917	-116.4727	-133.50407	-124.759056	2.3240957	-116.65556	-133.71048	-1.3306371	0.31310016	0.63775516	-6.2178	124.22027	0.35758597	145.5252652168274
21	-180.95891	3.6281035	-173.65874	-188.39426	-179.4425	7.506568	-165.43503	-194.7368	100.0	100.0	31499	-129.3309	2.3759556	-121.07772	-139.21564	-129.3311	2.3763375	-121.16152	-138.1812	-1.3291806	0.31826842	0.5670371	-7.960725	128.79478	0.35759124	153.09193325042725
22	-180.34502	4.357335	-175.66283	-187.97432	-173.70073	8.243675	-164.96101	-188.57674	100.0	100.0	32999	-133.76584	2.3937197	-125.30152	-142.71826	-133.76562	2.3948128	-125.533615	-142.89766	-1.3272594	0.3219144	0.84821844	-5.707374	133.22832	0.3661722	160.50431656837463
23	-179.0686	5.0441966	-168.75383	-186.75342	-169.36844	7.5523973	-160.51167	-183.50864	100.0	100.0	34499	-137.98103	2.4252615	-129.64253	-147.05325	-137.98102	2.4255931	-129.74132	-147.32356	-1.3249002	0.32932177	0.97473717	-6.5188775	137.44202	0.36347055	167.98583793640137
24	-179.06181	5.7272043	-169.87842	-191.70412	-177.43707	3.8864424	-167.60884	-182.01363	100.0	100.0	35999	-142.03972	2.4770372	-133.98146	-151.60797	-142.03975	2.4780827	-133.80342	-152.02538	-1.3229449	0.33878276	0.82453966	-6.714898	141.50298	0.38427725	175.4102144241333
25	-179.66481	4.328426	-168.97234	-186.54742	-173.74478	11.449841	-153.01335	-193.65974	100.0	100.0	37499	-145.96233	2.515104	-137.76123	-155.42348	-145.96233	2.51466	-137.46075	-155.35722	-1.3204226	0.34524268	0.92475533	-5.482599	145.42632	0.3756568	182.76006650924683
26	-177.17699	5.12204	-168.18013	-183.72403	-171.10828	6.8328753	-164.2173	-189.08028	100.0	100.0	38999	-149.72528	2.5570838	-141.0801	-159.47162	-149.72537	2.557792	-140.95197	-159.97166	-1.3200209	0.34182245	0.5689633	-6.118862	149.18874	0.3733691	190.13984084129333
27	-180.68507	6.38483	-164.80681	-191.39597	-171.9687	5.311793	-159.11935	-178.46782	100.0	100.0	40499	-153.33257	2.5956368	-144.40785	-163.0768	-153.33244	2.5954468	-144.36821	-163.29187	-1.317681	0.3512943	0.76491976	-5.7718706	152.7958	0.38872722	197.54846000671387
28	-178.37105	5.404949	-167.38899	-186.08562	-172.12036	9.938441	-153.89334	-184.3499	100.0	100.0	41999	-156.79001	2.6382227	-147.47763	-167.1811	-156.79013	2.6392274	-147.71222	-167.01015	-1.3175836	0.3494717	0.9641912	-5.744109	156.25365	0.39815015	204.98667550086975
29	-179.32721	5.124536	-169.95439	-186.68297	-174.57968	8.681673	-157.26762	-191.47496	100.0	100.0	43499	-160.15225	2.6968546	-151.1478	-170.2194	-160.15224	2.6966667	-151.45773	-170.47725	-1.3143523	0.36133295	1.0122132	-5.616658	159.61012	0.39576268	212.36107420921326
30	-176.8333	4.648755	-168.62483	-183.86696	-175.4876	11.116565	-157.62248	-191.15926	100.0	100.0	44999	-163.33685	2.7272387	-153.81163	-173.73428	-163.33688	2.7271593	-154.16087	-173.90665	-1.3134681	0.36234194	0.7955427	-7.7252045	162.80379	0.39876205	219.7408847808838
31	-179.34	4.893032	-167.13979	-186.3448	-171.16849	8.300487	-150.02138	-180.59697	100.0	100.0	46499	-166.41502	2.7507136	-157.00569	-176.74934	-166.41489	2.7505882	-157.19724	-176.84615	-1.3126128	0.36328128	1.101254	-6.955834	165.87627	0.38825563	227.09016346931458
32	-177.46965	4.841769	-169.04938	-186.4088	-174.40477	7.2071924	-161.68445	-190.79779	100.0	100.0	47999	-169.33546	2.7807457	-160.04149	-179.82253	-169.3356	2.7802484	-160.08292	-180.32448	-1.3098187	0.37259856	0.9618261	-6.2171416	168.79857	0.3945634	234.53188180923462
33	-180.89189	4.8835516	-174.50386	-192.35747	-175.39595	10.13406	-162.98326	-195.55103	100.0	100.0	49499	-172.13884	2.8228703	-162.32617	-183.15369	-172.13895	2.8237927	-162.51335	-183.82344	-1.3089904	0.37532425	0.87885094	-7.8466873	171.59372	0.40776637	241.9098825454712
34	-180.34955	4.4698906	-170.66356	-186.7335	-174.81123	9.653151	-160.34084	-193.27992	100.0	100.0	50999	-174.85927	2.8647017	-165.17741	-185.52417	-174.85913	2.8634665	-165.22475	-186.1384	-1.308434	0.37802288	1.0062668	-6.14198	174.31725	0.4017783	249.4043128490448
35	-179.15605	4.6098266	-164.8944	-186.45972	-172.4847	8.036699	-155.21205	-181.79736	100.0	100.0	52499	-177.47649	2.918539	-167.96057	-188.78925	-177.47658	2.9167879	-168.04553	-188.40134	-1.3068588	0.3775811	0.7034185	-5.812956	176.93442	0.40944752	256.8120210170746
36	-178.25783	4.9376373	-169.25076	-188.0224	-173.15494	6.676602	-162.69156	-181.67464	100.0	100.0	53999	-179.98738	2.94953	-170.17865	-191.98566	-179.98752	2.9481442	-170.2303	-191.00926	-1.3056386	0.3803216	1.3977771	-5.5544424	179.4467	0.4083369	264.3392515182495
37	-178.08662	5.1367292	-166.68817	-186.41396	-170.71005	7.520323	-159.15233	-186.6215	100.0	100.0	55499	-182.38065	2.9653614	-172.54874	-193.41908	-182.3807	2.9647613	-172.54047	-193.98221	-1.3047309	0.38148633	1.2509441	-6.7428107	181.8328	0.39488566	271.7708637714386
38	-178.8161	5.1501255	-167.96468	-186.98787	-169.14116	8.316658	-158.97379	-184.52896	100.0	100.0	56999	-184.67812	2.997675	-174.56967	-196.16257	-184.6782	2.997514	-174.20947	-195.98819	-1.3043152	0.39223725	1.3128195	-5.784878	184.12941	0.4071877	279.2369101047516
39	-178.7743	3.917804	-169.26863	-183.71089	-166.05563	11.205905	-145.82655	-183.67957	100.0	100.0	58499	-186.86415	3.0331018	-176.7299	-198.44888	-186.86397	3.033052	-176.66794	-198.66524	-1.3013026	0.39203432	0.7909827	-5.1008005	186.31998	0.40196818	286.71420097351074
40	-177.37872	4.8299637	-169.81195	-185.18822	-177.65965	8.066005	-163.08641	-188.44147	100.0	100.0	59999	-188.94896	3.0860279	-178.68433	-200.72655	-188.94911	3.0849288	-178.76758	-200.65974	-1.3010799	0.39405313	1.158947	-5.5369196	188.40446	0.40245572	294.2439956665039
41	-178.34962	4.4371686	-170.57703	-187.08827	-169.79448	8.493044	-160.3197	-183.67525	100.0	100.0	61499	-190.97658	3.1190987	-180.88988	-203.14763	-190.97667	3.1182601	-181.24571	-203.16454	-1.3004504	0.39547178	0.9443922	-6.822444	190.43181	0.41743317	301.703330039978
