Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	-6.22457	97.844086	100.93959	-154.69565	633.3333	-32.909355	0.013460568	-32.822304	-32.91498	112000	1.34706495e-08	3185.6042	-0.0085517885	-1.0888672	1.0688787	0.006606996	0.048	79.0	252.18057513237
28	33.09672	77.74212	100.956314	-113.32239	696.6	-32.676395	0.011742025	-32.579773	-32.68132	116000	1.1920929e-09	1462.3142	-0.005734007	-18.396729	0.9693227	0.0027196333	0.03125	79.0	264.3629541397095
29	12.9207	124.606476	97.69895	-202.15599	836.0	-31.877996	0.033290163	-31.235584	-31.884247	120000	1.9788741e-08	3332.1868	-0.007130117	-7.965332	0.979149	0.011855418	0.07125	79.0	281.4609680175781
30	74.37556	30.655191	116.31443	36.45594	1000.0	-31.294493	0.03839335	-30.902014	-31.30582	124000	-3.2782555e-08	1286.2401	-0.0077808644	-21.066162	1.0484433	0.00248371	0.06625	79.0	296.3175060749054
31	102.88242	40.56059	136.5659	35.85386	1000.0	-30.390465	0.024127707	-30.216328	-30.399282	128000	-4.053116e-09	1914.9541	-0.007051179	-34.555054	1.070006	0.005489933	0.19475	79.0	309.8056871891022
32	105.973465	91.34552	222.60793	-58.29511	772.8	-29.189426	0.052445713	-28.481272	-29.202822	132000	2.2888184e-08	4606.585	-0.0047533424	-199.87598	1.0349946	0.006203793	0.03125	79.0	320.54214096069336
33	90.69517	71.241	189.31036	-21.875927	651.0	-26.360611	0.062127303	-25.506678	-26.38108	136000	-2.2172928e-08	3647.589	-0.0067301793	-168.02222	1.0306902	0.0031719021	0.03925	79.0	331.3809230327606
34	20.194765	134.07346	163.02536	-124.512215	829.75	-23.680874	0.10821136	-22.560553	-23.712118	140000	-1.2040139e-08	4485.037	-0.00483329	-14.685059	0.97657925	0.012923864	0.169	79.0	344.4649419784546
35	22.882702	115.11788	149.97919	-125.64102	754.4	-24.197046	0.06639911	-23.630066	-24.230537	144000	-1.9371509e-08	3750.27	-0.007204947	-6.2512207	1.032782	0.00731982	0.117	79.0	359.120334148407
36	60.11769	36.846146	123.465065	31.84823	1000.0	-23.758448	0.36021593	-17.922462	-23.857328	148000	-2.8133393e-08	1012.58655	-0.006535323	-3.06604	1.0040371	0.004873347	0.0855	79.0	374.82836508750916
37	41.619514	68.54069	132.90845	-54.671314	648.1667	-23.205698	1.0957536	-13.145024	-23.571566	152000	-1.1205673e-08	2024.6238	-0.007839887	-23.478638	0.9986703	0.008560561	0.08925	79.0	386.2283101081848
38	56.73937	68.79303	133.30377	-48.693798	742.4	-22.85029	0.21271634	-20.78597	-22.921398	156000	-9.417534e-09	2774.831	-0.006022252	-78.552	0.97413903	0.007667473	0.0915	79.0	398.21808218955994
39	11.940296	43.890575	75.84797	-39.62983	864.75	-20.979618	0.29975164	-15.914774	-21.03949	160000	1.07288365e-08	1465.4478	-0.0076200487	-14.373291	1.0165133	0.012315343	0.08175	79.0	413.07815504074097
40	-2.9888062	77.724014	70.19568	-122.470055	728.8	-21.523952	0.14508635	-19.598322	-21.565973	164000	4.8279762e-09	1672.3446	-0.008271459	-1.8182373	1.0273203	0.011374759	0.1255	79.0	424.6643171310425
41	-53.763206	74.56805	55.917976	-140.2153	712.6	-21.397705	1.1527182	-2.648344	-21.630713	168000	-1.013279e-09	3795.3337	-0.007423329	-131.33472	1.0075641	0.009860881	0.11	79.0	436.6467971801758
42	7.469578	61.671753	81.162506	-80.63364	812.75	-23.79225	0.047469635	-22.998903	-23.805706	172000	8.8214875e-09	1185.0642	-0.006973864	-10.050049	0.95264196	0.0059353006	0.03775	79.0	449.70006012916565
43	47.51881	12.80337	59.929417	27.981047	1000.0	-23.176697	0.08972371	-21.809376	-23.207867	176000	1.2159347e-08	533.01843	-0.0068115224	-33.511963	0.94116735	0.0047577037	0.036	79.0	462.1606101989746
44	101.5573	35.67195	146.14334	60.418434	1000.0	-21.82587	0.02518621	-21.58771	-21.837584	180000	-1.5854836e-08	2013.4114	-0.009402437	-176.14746	1.0268979	0.010555494	0.06325	79.0	475.89103388786316
45	76.75902	8.847539	84.82983	61.852898	1000.0	-18.71523	0.038782638	-18.244682	-18.735657	184000	-1.9848347e-08	1197.2961	-0.0048380364	-101.85693	1.0186671	0.0018712167	0.02675	79.0	492.1949589252472
46	99.01144	18.61858	122.2271	76.34847	1000.0	-16.246418	0.04155355	-15.933927	-16.268677	188000	2.4199485e-08	1817.9646	-0.008277338	-168.82971	1.008469	0.0138898585	0.0685	79.0	506.3630290031433
47	51.85392	81.11324	148.15855	-76.58743	846.0	-13.17577	0.05859819	-12.778981	-13.212775	192000	1.1086464e-08	3619.681	-0.0043163705	-116.28467	0.9746812	0.016625872	0.189	15.0	518.0823571681976
48	9.528345	94.72122	87.154045	-152.58014	937.5	-10.55904	0.06968558	-10.126238	-10.609632	196000	-1.5497208e-09	3208.7866	-0.008801093	-3.1967773	1.0085572	0.006397836	0.065	79.0	532.9023079872131
49	66.96565	16.214823	83.647865	47.24745	1000.0	-10.75366	0.032930404	-10.558164	-10.775405	200000	-1.2516975e-08	597.6835	-0.0047692573	-55.393066	0.9859436	0.005583472	0.09275	79.0	546.3413660526276
