Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
20	-523.35803	228.77786	-122.922356	-859.46423	-407.68158	74.71219	-292.87283	-564.4189	100.0	100.0	29999	-1108.8309	175.11682	-755.20306	-1770.0789	-1108.8153	175.13248	-754.81384	-1773.9988	1.5082718	1.7755474	12.584469	-9.532938	1107.121	486.0967	139.92578434944153
21	-376.30994	222.62459	-81.332306	-1033.7186	-408.67438	191.42628	-124.637375	-823.35345	100.0	100.0	31499	-1118.175	181.71367	-750.6326	-1820.9946	-1118.1619	181.73251	-748.3487	-1803.8141	1.5534443	1.7673808	13.94862	-11.366489	1116.3114	512.61835	147.1602234840393
22	-454.39206	167.06201	-122.49607	-737.0022	-407.9356	211.73111	-114.126785	-834.3306	100.0	100.0	32999	-1123.6727	188.81734	-744.91754	-1862.357	-1123.6544	188.87982	-746.726	-1860.663	1.5934929	1.7632895	14.489274	-10.119048	1121.7664	529.8345	154.32918453216553
23	-374.46942	174.30907	-55.819603	-674.1889	-407.51007	243.70042	-94.4815	-822.33453	100.0	100.0	34499	-1124.5106	192.13835	-743.3177	-1886.4313	-1124.4956	192.18753	-738.4178	-1881.3562	1.6317266	1.7573243	15.990391	-9.88902	1122.4613	529.64355	161.4877471923828
24	-401.10904	214.32333	-110.78879	-975.94867	-415.22504	230.71663	-175.44276	-871.30835	100.0	100.0	35999	-1121.5369	195.65984	-736.183	-1926.2324	-1121.5176	195.7293	-735.51245	-1901.4945	1.6377869	1.7633517	13.450569	-11.802554	1119.6078	535.97186	168.6460084915161
25	-408.14017	251.13074	-11.060183	-990.44324	-366.25327	266.12616	-147.22058	-955.13513	100.0	100.0	37499	-1117.5336	198.64552	-734.2748	-1931.7186	-1117.5127	198.71895	-732.8908	-1947.5232	1.6652566	1.7901947	12.921307	-9.78793	1115.4813	535.38794	175.76308679580688
26	-411.01883	315.93402	-187.16519	-1307.391	-256.70956	155.64787	-78.45489	-511.24622	100.0	100.0	38999	-1108.8557	202.01082	-732.26556	-1928.2902	-1108.836	202.092	-726.28455	-1942.3123	1.706141	1.8072209	14.979557	-9.177023	1106.6748	541.8384	182.9376049041748
27	-347.69577	141.79848	-141.67195	-610.6929	-425.8216	211.33946	-101.019264	-794.167	100.0	100.0	40499	-1101.3309	204.37639	-729.53937	-1956.7065	-1101.307	204.48068	-722.88	-1950.1487	1.6644728	1.8149858	13.474261	-10.165721	1099.5188	536.32385	190.11184310913086
28	-510.46017	289.74045	-242.67322	-1171.0724	-275.06625	181.49649	-55.764214	-606.86194	100.0	100.0	41999	-1097.7611	206.22977	-718.99054	-1969.6771	-1097.7383	206.33391	-718.9402	-1975.1378	1.6771437	1.8320793	14.671754	-9.848162	1095.9061	530.52014	197.20757460594177
29	-343.67075	188.99986	-38.11894	-672.52045	-513.22003	477.7636	-128.41656	-1618.014	100.0	100.0	43499	-1088.9719	208.6254	-717.56445	-1960.1066	-1088.9452	208.72556	-714.39984	-1958.9133	1.6632282	1.8268538	15.605668	-8.736145	1087.101	526.50745	204.32433795928955
