Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
24	-465.76382	18.150127	-424.13452	-493.86386	-453.17767	33.35849	-385.72986	-486.21152	100.0	100.0	35999	-95.78435	2.3575628	-87.43231	-103.61481	-95.78427	2.3624527	-87.47283	-103.378235	95.6566	0.5480787	150.12918877601624
25	-457.4013	23.323584	-406.41245	-492.99036	-459.92822	18.38795	-421.1385	-481.50165	100.0	100.0	37499	-95.913086	2.4444888	-87.05621	-104.17705	-95.91317	2.4494026	-87.324615	-104.13504	95.789	0.56863475	156.32693934440613
26	-464.1557	16.028961	-441.93585	-497.26566	-465.34943	20.829645	-424.3587	-492.74164	100.0	100.0	38999	-96.02538	2.522412	-87.21698	-105.222176	-96.02528	2.5267286	-87.21741	-104.26806	95.88134	0.5793087	164.1162416934967
27	-466.33725	14.0152645	-445.53796	-487.05832	-463.73618	27.086752	-398.44266	-498.77856	100.0	100.0	40499	-96.10798	2.5820317	-87.12823	-105.26995	-96.108116	2.5851786	-87.11927	-104.92365	95.9638	0.5960413	171.0098593235016
28	-462.40085	17.075167	-436.13794	-494.05106	-443.8186	28.470276	-388.7485	-487.82678	100.0	100.0	41999	-96.16944	2.625211	-87.14134	-105.39983	-96.16933	2.6295977	-87.12208	-105.09844	96.0284	0.6032715	177.2365791797638
29	-453.8445	28.48624	-369.68167	-481.85376	-466.95444	15.951787	-433.91568	-491.94016	100.0	100.0	43499	-96.15192	2.666987	-87.19289	-105.82801	-96.151985	2.670744	-87.06099	-105.39787	95.9988	0.6133449	184.4084997177124
30	-467.4836	17.261076	-434.00577	-491.78336	-454.63077	29.1532	-378.37463	-487.99524	100.0	100.0	44999	-96.100876	2.7493665	-86.92855	-106.25213	-96.100784	2.7528367	-86.99417	-105.66943	95.96915	0.6250091	190.50322699546814
31	-467.2348	12.454327	-439.50827	-483.84467	-441.09088	33.132298	-351.6754	-473.8644	100.0	100.0	46499	-96.067665	2.7948976	-86.93666	-106.18325	-96.06765	2.8009346	-86.79689	-105.37347	95.9124	0.6272762	198.5991759300232
32	-469.63586	15.60185	-429.05072	-487.20016	-453.17514	27.707571	-400.0414	-487.46304	100.0	100.0	47999	-96.058334	2.8221836	-86.796425	-107.00384	-96.05859	2.825758	-86.82811	-106.02704	95.90969	0.63201207	204.64003372192383
33	-459.48135	21.747446	-415.53122	-495.70468	-446.5184	33.348175	-396.26984	-488.36057	100.0	100.0	49499	-96.02125	2.8446925	-86.79364	-107.2731	-96.02125	2.8495429	-86.738945	-105.762505	95.86028	0.6356793	211.70730447769165
34	-459.99112	27.448729	-389.40164	-491.32764	-435.97305	58.29271	-276.2001	-488.96207	100.0	100.0	50999	-95.96167	2.881756	-86.4401	-106.43186	-95.961716	2.8872554	-86.5011	-106.14473	95.82735	0.633168	217.58499121665955
35	-460.2796	19.970695	-412.63962	-489.58252	-452.6503	33.45869	-395.97623	-487.30164	100.0	100.0	52499	-95.94307	2.9226456	-86.088585	-106.52227	-95.94321	2.927435	-86.21619	-106.59248	95.79862	0.63652146	223.5982837677002
