Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
20	-190.66469	2.9200902	-182.81818	-194.33571	-191.21854	2.3937287	-187.44095	-194.09424	100.0	100.0	29999	-25.71355	0.29926232	-24.611938	-27.388067	-25.713545	0.2986681	-24.51121	-27.32949	-1.3669057	0.1679839	-0.8780055	-6.0311737	25.071676	0.048157167	142.40774035453796
21	-190.26921	2.3327684	-185.08023	-193.9539	-189.8064	3.2297108	-184.5259	-195.89914	100.0	100.0	31499	-25.715515	0.30071175	-24.619228	-27.266138	-25.715517	0.3008783	-24.548532	-27.25883	-1.3668898	0.16944537	-0.76465464	-7.7194095	25.071793	0.047737885	149.90626692771912
22	-190.71962	2.7301311	-186.64818	-197.93945	-191.9296	2.7075503	-187.45065	-196.35666	100.0	100.0	32999	-25.708288	0.3021527	-24.56985	-27.430782	-25.708313	0.3025552	-24.580235	-27.350313	-1.3665665	0.16729648	-0.82166386	-5.5050206	25.063528	0.047012005	157.35076594352722
23	-191.5828	1.3658181	-189.41252	-195.41476	-191.19458	2.448264	-186.17168	-194.64836	100.0	100.0	34499	-25.703209	0.30136216	-24.575523	-27.387285	-25.703228	0.30200863	-24.63163	-27.456768	-1.3660636	0.16790318	-0.7436409	-5.7021294	25.059315	0.047822386	164.74877190589905
24	-190.42302	1.8484251	-185.94765	-193.14752	-191.10492	1.824589	-189.17561	-194.597	100.0	100.0	35999	-25.701612	0.2987399	-24.650501	-27.323103	-25.701561	0.29905123	-24.596884	-27.318121	-1.3670609	0.16595131	-0.8076875	-6.009162	25.05537	0.04695487	172.12713265419006
25	-190.30695	2.550974	-182.46886	-193.4332	-191.22415	2.1524684	-187.33319	-194.19211	100.0	100.0	37499	-25.694534	0.2943511	-24.60743	-27.148064	-25.694546	0.2951156	-24.59621	-27.32265	-1.3667308	0.16658704	-0.86833143	-5.0930185	25.048464	0.047206145	179.55976366996765
26	-190.66	1.9147363	-187.97752	-194.64555	-191.69943	2.5457292	-189.08495	-197.95622	100.0	100.0	38999	-25.689346	0.293089	-24.659023	-27.278223	-25.689388	0.29435483	-24.63179	-27.340454	-1.366215	0.16699255	-0.89768815	-5.446942	25.04312	0.046450946	187.1561119556427
27	-190.33858	1.6948106	-185.70726	-193.53882	-190.62604	1.6730886	-187.3815	-193.16296	100.0	100.0	40499	-25.686056	0.29121387	-24.684528	-27.379341	-25.686094	0.29173315	-24.681496	-27.21582	-1.3672727	0.1665746	-0.9365182	-5.6626472	25.039083	0.045238964	194.82179594039917
28	-189.64268	1.7398406	-186.39174	-192.99261	-191.34158	1.7474046	-189.24358	-194.25974	100.0	100.0	41999	-25.677422	0.2889962	-24.632935	-27.511705	-25.67739	0.28943542	-24.673796	-27.109867	-1.3665955	0.1662162	-0.8846252	-6.0711365	25.03014	0.045810238	202.38108491897583
29	-191.20381	1.1633314	-189.18933	-193.74213	-190.03291	1.6006656	-186.50328	-192.60788	100.0	100.0	43499	-25.671078	0.28812093	-24.659399	-27.023983	-25.671083	0.2882601	-24.694342	-27.099024	-1.3659959	0.1668001	-0.77020645	-5.1393375	25.024448	0.046118673	209.8806393146515
30	-191.16869	2.216828	-185.2905	-194.66927	-191.06795	2.9830778	-184.7611	-194.59842	100.0	100.0	44999	-25.668692	0.28848815	-24.626932	-27.268684	-25.668745	0.28914797	-24.668032	-27.05164	-1.366794	0.1689328	-0.85062194	-6.6296043	25.020414	0.04472134	217.51619267463684
31	-191.18304	1.7476735	-188.40298	-194.9453	-190.56477	2.5073419	-187.69948	-194.75218	100.0	100.0	46499	-25.668266	0.28787675	-24.635145	-27.001926	-25.668276	0.2884341	-24.659187	-27.135506	-1.3664218	0.16792189	-0.84207845	-6.2793074	25.01949	0.0455212	224.9827425479889
32	-190.16135	1.3299612	-187.74919	-192.86284	-190.21771	2.0751014	-185.55179	-192.56477	100.0	100.0	47999	-25.6651	0.28515276	-24.656376	-27.047483	-25.665075	0.28638345	-24.607344	-27.02507	-1.3670833	0.16632587	-0.8289285	-6.166439	25.018019	0.04518485	232.45934772491455
33	-190.36009	1.3297037	-188.64128	-193.16231	-190.82497	2.394434	-186.3401	-194.40466	100.0	100.0	49499	-25.657259	0.2839696	-24.676617	-26.909153	-25.657314	0.28475595	-24.621445	-26.908255	-1.366749	0.16769417	-0.8814018	-7.8831816	25.008354	0.04508776	239.97136545181274
34	-190.92259	1.7528332	-186.62532	-193.62016	-190.878	1.8132098	-188.67044	-194.0566	100.0	100.0	50999	-25.655046	0.2814246	-24.66866	-27.068293	-25.65501	0.28164318	-24.6848	-27.00367	-1.3665059	0.16623148	-0.88068247	-5.81635	25.005005	0.045009114	247.59729099273682
35	-190.07004	2.3491173	-185.44434	-193.43637	-190.54433	2.929495	-184.87183	-195.54878	100.0	100.0	52499	-25.64917	0.27978578	-24.63255	-27.047937	-25.649174	0.28115314	-24.609953	-27.064354	-1.3666067	0.16547106	-0.86276627	-5.3976216	24.998907	0.044092823	255.1115264892578
36	-190.5807	2.078331	-186.78635	-195.22696	-190.13834	3.6359744	-183.96062	-194.3113	100.0	100.0	53999	-25.640825	0.28028318	-24.68682	-26.990892	-25.640821	0.2811706	-24.689568	-27.0074	-1.3664857	0.16476406	-0.6506047	-4.7087173	24.990767	0.044801503	262.61970114707947
37	-190.57787	2.1851301	-184.7157	-194.00542	-190.59982	3.1648893	-184.31317	-195.4832	100.0	100.0	55499	-25.635988	0.2812431	-24.69422	-26.863247	-25.636003	0.2822156	-24.63842	-26.899237	-1.3672748	0.16779627	-0.85794353	-6.7016315	24.984907	0.044379264	270.21660900115967
