Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
25	-459.20544	20.218287	-422.7321	-486.9439	-465.47314	21.669418	-416.7254	-488.56042	100.0	100.0	37499	-95.25362	2.028182	-87.95468	-103.47881	-95.25369	2.034012	-87.82048	-103.061195	95.12163	0.5392894	291.5149290561676
26	-458.26648	28.445683	-403.48508	-490.54547	-464.0123	20.721945	-424.70645	-494.6182	100.0	100.0	38999	-95.31618	2.0619378	-87.86838	-103.813965	-95.31615	2.0680814	-87.76772	-103.40924	95.17857	0.5436814	304.87912011146545
27	-460.2267	27.890484	-406.61603	-491.3103	-460.90057	30.651543	-390.26642	-494.59967	100.0	100.0	40499	-95.36011	2.096233	-88.075294	-103.89505	-95.36019	2.1023242	-87.85831	-103.80289	95.22696	0.5652774	319.2187440395355
28	-453.20932	23.092188	-396.58148	-481.7975	-454.06723	23.289034	-420.39102	-493.17084	100.0	100.0	41999	-95.343414	2.1435263	-88.15966	-104.496895	-95.34333	2.1493695	-88.00871	-104.48094	95.206	0.57972133	334.09931898117065
29	-438.99606	36.577026	-345.9938	-482.70038	-439.4859	13.819611	-425.66473	-476.66473	100.0	100.0	43499	-95.271675	2.1920936	-88.24372	-104.42818	-95.271866	2.1969862	-88.302315	-104.93191	95.12848	0.59817034	349.2278780937195
30	-455.03918	32.479767	-375.08215	-495.4508	-424.81357	44.971493	-312.68616	-483.4234	100.0	100.0	44999	-95.187645	2.2777493	-88.26968	-105.13278	-95.18753	2.2850165	-88.0879	-105.20965	95.0457	0.628614	364.03451204299927
31	-459.2543	13.264643	-436.76187	-482.35886	-432.89288	32.600647	-387.51492	-485.54318	100.0	100.0	46499	-95.07997	2.3490334	-88.27462	-105.3827	-95.07999	2.3537586	-88.061844	-105.38569	94.93049	0.65007156	379.39313101768494
32	-441.2709	28.392065	-384.36975	-483.65448	-432.04022	15.947076	-409.8668	-461.7348	100.0	100.0	47999	-94.9804	2.4127629	-88.09845	-105.55727	-94.98034	2.420129	-88.21941	-105.701096	94.83513	0.65749013	394.5561819076538
33	-459.66058	14.283654	-427.16116	-485.13248	-447.06232	25.345505	-403.6359	-480.67645	100.0	100.0	49499	-94.83609	2.4705567	-88.03287	-105.61627	-94.83626	2.4779608	-88.09698	-105.14252	94.67886	0.6810706	409.5641620159149
34	-435.38644	33.471237	-377.27368	-477.87747	-432.809	28.288729	-390.7523	-471.7181	100.0	100.0	50999	-94.72464	2.5399275	-87.89123	-105.8251	-94.72465	2.5450203	-87.47144	-105.24601	94.58075	0.69262445	424.6047511100769
35	-437.1543	36.473564	-338.97656	-475.71744	-439.80884	28.093016	-386.54498	-480.15924	100.0	100.0	52499	-94.59574	2.598649	-87.411896	-105.71565	-94.59575	2.605561	-87.321	-105.72194	94.43131	0.7209113	439.61375093460083
36	-442.5486	32.19079	-371.44852	-494.69647	-439.3868	18.932379	-405.8443	-468.2709	100.0	100.0	53999	-94.437325	2.6906428	-87.121216	-107.467995	-94.43734	2.6973548	-86.99248	-106.294975	94.27016	0.73572356	454.54388999938965
37	-442.94135	34.944134	-366.45856	-488.9021	-432.51767	41.12548	-361.79788	-484.2983	100.0	100.0	55499	-94.316086	2.77856	-86.55395	-106.54435	-94.31622	2.7849424	-86.569855	-106.39724	94.14379	0.77187747	469.7938940525055
38	-445.34885	31.250502	-376.52283	-491.97324	-405.60764	56.20717	-288.999	-471.20505	100.0	100.0	56999	-94.145805	2.8766766	-86.27518	-107.13771	-94.14589	2.883022	-86.29682	-106.365875	93.970726	0.7865132	484.90901017189026
39	-427.75082	28.39304	-380.8432	-474.72455	-411.36606	35.94545	-358.5741	-467.89853	100.0	100.0	58499	-94.00096	2.963202	-85.61033	-107.09439	-94.00084	2.9699662	-85.56091	-107.21465	93.824394	0.8220057	499.9111342430115
40	-433.98035	30.516539	-362.72266	-479.70322	-410.85782	32.632298	-374.0826	-474.2558	100.0	100.0	59999	-93.81476	3.0606275	-85.487274	-107.4607	-93.814865	3.0674634	-85.5057	-106.266014	93.64492	0.83169466	514.763778924942
41	-442.3136	25.745735	-396.63364	-493.64017	-407.4158	47.69806	-301.7515	-459.6928	100.0	100.0	61499	-93.626686	3.1358492	-85.15903	-108.1317	-93.62673	3.1430264	-85.32198	-107.23329	93.43444	0.84268165	529.6270220279694
42	-434.09378	37.67303	-305.27502	-468.25436	-420.52448	36.48578	-337.67526	-463.457	100.0	100.0	62999	-93.45656	3.214573	-84.90689	-108.134155	-93.45655	3.221309	-84.873276	-107.03901	93.26729	0.8615531	544.6844520568848
43	-423.2824	36.761795	-335.08582	-465.0229	-382.67847	53.513527	-258.6919	-472.16806	100.0	100.0	64499	-93.2811	3.3169515	-84.5443	-108.45143	-93.28126	3.3228834	-84.61168	-107.31424	93.07866	0.8634933	559.5704870223999
44	-435.37485	46.06281	-310.78186	-480.543	-410.69955	70.28934	-223.03319	-475.55554	100.0	100.0	65999	-93.08916	3.4034197	-84.01588	-108.29733	-93.08916	3.4116216	-84.09888	-107.86142	92.8717	0.88099885	574.4008581638336
45	-425.28268	28.81072	-363.35507	-466.33987	-412.23355	41.951996	-336.64148	-483.10123	100.0	100.0	67499	-92.88325	3.4957404	-83.46814	-108.37146	-92.88325	3.503732	-83.30954	-108.19276	92.67444	0.88356835	589.3887469768524
46	-426.6917	31.845392	-367.53262	-484.3314	-401.17072	53.15708	-305.35095	-469.33344	100.0	100.0	68999	-92.690445	3.5787518	-82.842834	-108.56486	-92.69057	3.584494	-82.9202	-108.76491	92.501045	0.91426367	604.3332929611206
