Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
20	-374.89062	7.2998333	-362.00906	-388.3856	-365.63333	8.702623	-352.22122	-379.74188	100.0	100.0	29999	-330.4497	4.3678102	-318.65637	-346.8205	-330.44995	4.3687406	-318.12952	-347.3537	-1.3040258	0.38740605	0.85292697	-6.4327526	330.04263	1.2548169	147.79286861419678
21	-370.96848	8.222555	-346.95798	-380.49777	-359.7098	22.924389	-313.05096	-384.34857	100.0	100.0	31499	-342.5397	4.271215	-330.09424	-358.31528	-342.53955	4.2696567	-329.87897	-358.6902	-1.2995608	0.39173642	1.1164751	-7.84523	342.1382	1.3165456	155.24696707725525
22	-369.94916	11.723367	-345.88818	-386.67966	-372.1356	13.84251	-352.69785	-391.83456	100.0	100.0	32999	-354.07288	4.180321	-342.6026	-370.18536	-354.0726	4.18025	-342.37698	-370.57587	-1.2940923	0.4054082	1.3737698	-6.280472	353.66992	1.2969099	162.7341330051422
23	-371.48343	11.801938	-340.51144	-385.6538	-363.07437	18.34409	-337.3657	-391.12387	100.0	100.0	34499	-365.20306	4.109099	-353.58066	-381.84662	-365.20312	4.1111774	-353.98428	-382.52148	-1.2917395	0.41115263	1.205792	-6.013956	364.80383	1.3652383	170.1971297264099
24	-370.3951	13.198323	-335.25433	-383.7108	-355.352	30.25905	-277.4707	-382.20142	100.0	100.0	35999	-375.8833	4.0637608	-364.228	-391.75815	-375.88336	4.062606	-363.46295	-392.40207	-1.2874231	0.42218682	1.0213728	-7.115921	375.4871	1.3550307	177.59352159500122
25	-372.6602	6.941061	-359.31314	-385.57816	-351.7299	28.571106	-294.56528	-374.97333	100.0	100.0	37499	-386.20184	4.0027323	-375.04715	-402.4772	-386.20206	4.0032754	-374.6708	-402.7289	-1.2855996	0.422173	1.5685854	-5.9565525	385.8006	1.394693	185.02406072616577
26	-372.25137	9.518519	-349.1612	-384.94855	-363.58612	21.369081	-326.0699	-393.54297	100.0	100.0	38999	-396.12476	3.9659762	-384.7509	-413.93164	-396.12436	3.965346	-384.74426	-413.016	-1.2814293	0.4274032	1.5160303	-7.158631	395.72183	1.386485	192.66346049308777
27	-373.66846	8.294903	-357.8567	-386.59332	-359.77954	17.24646	-326.23663	-378.49088	100.0	100.0	40499	-405.64734	3.9363391	-393.92206	-422.86566	-405.64743	3.9319816	-394.2028	-421.95142	-1.2798418	0.43507606	1.1783824	-6.7237215	405.25067	1.4052494	200.09285283088684
28	-369.3727	7.4955144	-350.62177	-384.99957	-354.27667	22.978022	-311.64218	-380.69434	100.0	100.0	41999	-414.79282	3.8754518	-402.94928	-432.29932	-414.79303	3.8686004	-402.95352	-431.5337	-1.2765332	0.44333512	1.5680294	-5.9867697	414.40018	1.447544	207.57729983329773
29	-371.3417	7.1635604	-355.58694	-380.1798	-373.3057	11.349136	-358.66006	-393.92648	100.0	100.0	43499	-423.56793	3.8369844	-412.2788	-440.58716	-423.56787	3.836317	-412.1784	-440.9762	-1.2740297	0.4467487	1.056778	-6.9827576	423.1804	1.4013851	215.0244061946869
30	-373.54996	7.0915775	-361.58862	-383.5907	-360.04028	13.852579	-331.5814	-381.85983	100.0	100.0	44999	-432.0111	3.8120954	-420.92218	-449.5123	-432.01144	3.8118896	-420.84448	-449.71558	-1.2742167	0.4486028	1.489027	-7.7056885	431.61624	1.4042327	222.52257084846497
31	-372.01828	12.634582	-343.02103	-391.5092	-361.00812	14.977259	-328.10266	-377.37488	100.0	100.0	46499	-440.14694	3.8249178	-428.40277	-456.98874	-440.1463	3.8278189	-427.15033	-458.24203	-1.270002	0.4601073	1.8596351	-6.6615095	439.74866	1.419577	229.93170070648193
32	-369.18707	10.929309	-351.91153	-391.4723	-363.54877	16.3734	-326.9602	-383.3645	100.0	100.0	47999	-447.95383	3.7799249	-436.0207	-465.75354	-447.95377	3.784761	-436.40308	-466.70908	-1.270676	0.4606085	1.4863801	-8.092322	447.55612	1.4904381	237.31369352340698
33	-373.28256	4.6115994	-364.70914	-382.56232	-360.6316	19.373516	-320.85745	-385.29794	100.0	100.0	49499	-455.40863	3.7843392	-443.79828	-472.93738	-455.40842	3.7859406	-444.03503	-473.6809	-1.2674453	0.46052042	1.6789663	-8.726319	455.00784	1.4132913	244.69535517692566
34	-367.62497	8.42495	-351.4451	-382.89093	-361.9324	22.318493	-331.6881	-392.45865	100.0	100.0	50999	-462.5953	3.7735481	-450.94934	-480.38016	-462.59543	3.773411	-450.60065	-481.51428	-1.2646275	0.46748626	1.5962479	-5.466203	462.18875	1.4548528	252.12906408309937
35	-371.60858	10.476835	-347.33975	-388.34317	-371.13263	14.07539	-342.37265	-388.9326	100.0	100.0	52499	-469.49515	3.776348	-457.69128	-487.41537	-469.495	3.7784538	-457.5983	-487.51968	-1.2647884	0.4668921	1.3984904	-5.945218	469.08545	1.4368589	259.5939431190491
36	-370.47458	11.1890545	-350.83127	-393.72617	-370.0953	7.734443	-356.4213	-380.87125	100.0	100.0	53999	-476.12997	3.7858217	-464.5158	-494.91653	-476.12982	3.7865355	-464.80545	-495.2558	-1.2654823	0.46548918	1.3995919	-5.334814	475.723	1.4890481	267.11575078964233
37	-372.2433	8.163107	-353.37686	-382.38345	-364.02863	10.902595	-352.09982	-384.86984	100.0	100.0	55499	-482.53418	3.8003035	-470.8453	-500.3227	-482.53433	3.800699	-470.49655	-500.60474	-1.2613599	0.4787972	1.5099659	-6.767109	482.12775	1.4712046	274.6580274105072
38	-363.32248	13.012203	-335.6509	-384.73892	-359.31772	16.687437	-332.40588	-381.6265	100.0	100.0	56999	-488.6864	3.8208265	-476.57678	-507.47708	-488.68628	3.822022	-476.97644	-507.13794	-1.256158	0.48790956	1.5774212	-6.3655367	488.28345	1.4473116	282.24382424354553
39	-366.20172	9.782821	-346.907	-379.1486	-355.5166	21.4507	-316.2092	-395.68115	100.0	100.0	58499	-494.6169	3.8348732	-482.78485	-514.2492	-494.6169	3.832571	-482.59988	-513.1353	-1.2529491	0.49069485	1.9329867	-5.5243607	494.21716	1.5278555	289.7698678970337
