Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
21	-22.000824	10.5390835	-12.537641	-47.82321	-21.221807	10.65655	-4.9142046	-34.482395	100.0	100.0	31499	-47.752068	14.654901	-16.305365	-133.50328	-47.751907	14.657827	-16.22786	-132.03862	0.6147723	1.7566012	10.952197	-11.936448	47.465084	2.4053035	256.32008028030396
22	-21.140411	10.323336	-10.187704	-50.140266	-12.384286	5.136204	-6.1029363	-24.734114	100.0	100.0	32999	-47.87463	14.853819	-15.6806345	-135.63278	-47.873974	14.85606	-15.647038	-133.64183	0.58835936	1.739227	11.485903	-9.621204	47.606926	2.3696153	268.66909980773926
23	-20.585545	5.110621	-11.552577	-28.961227	-11.324587	5.9224534	-4.16747	-24.192728	100.0	100.0	34499	-47.92407	14.943398	-16.799234	-138.1023	-47.92336	14.945121	-16.261099	-133.12817	0.5623955	1.7276814	11.248608	-11.950738	47.67832	2.3442051	280.42502617836
24	-21.979147	6.3914814	-12.934883	-34.050617	-11.636229	5.3566427	-3.0576742	-20.976126	100.0	100.0	35999	-48.10325	14.904449	-16.43109	-133.9967	-48.103218	14.905698	-17.440636	-135.04123	0.53638965	1.7265327	11.14605	-10.694987	47.870647	2.2909777	291.5483889579773
25	-18.783703	4.9532385	-10.547771	-28.574314	-15.876272	11.782194	-7.093032	-48.994232	100.0	100.0	37499	-48.1779	14.946147	-18.604929	-137.83487	-48.17754	14.947628	-18.456997	-136.37831	0.5267975	1.7156786	10.685156	-11.473177	47.953697	2.2306972	302.946085691452
26	-22.091648	10.563793	-9.738338	-51.50187	-8.269676	5.1696105	-4.3013067	-21.116915	100.0	100.0	38999	-48.256874	14.898237	-20.011364	-135.97198	-48.25605	14.902298	-19.220924	-137.1001	0.5018572	1.7034141	11.903198	-10.0376425	48.051353	2.1744623	314.8612816333771
27	-20.012472	6.794345	-9.470146	-34.869164	-10.650457	4.2462363	-6.187971	-20.995562	100.0	100.0	40499	-48.375515	14.99187	-20.313768	-137.05386	-48.37553	14.993916	-20.338211	-135.9025	0.48586243	1.7059591	10.795364	-10.194497	48.180374	2.1348257	328.7985942363739
28	-24.791962	11.607055	-10.020975	-52.29374	-14.683568	9.446927	-5.496017	-37.011166	100.0	100.0	41999	-48.313778	14.835116	-20.71457	-136.76057	-48.313316	14.836228	-21.52945	-136.19508	0.46581125	1.6918187	10.50857	-9.816946	48.128773	2.0618396	344.96161341667175
29	-18.41506	5.6362023	-8.227004	-28.72431	-13.519444	8.243727	-0.69927204	-30.36164	100.0	100.0	43499	-48.31069	14.942942	-21.402615	-134.68846	-48.310356	14.943752	-21.9906	-135.04521	0.4517389	1.6897866	10.713859	-9.864732	48.13248	2.0579326	357.7764587402344
30	-23.252825	8.260165	-13.563938	-41.269966	-16.570808	15.437341	-2.034899	-59.86116	100.0	100.0	44999	-48.223904	14.795944	-22.032124	-136.96225	-48.223618	14.796862	-22.625011	-137.93456	0.43610916	1.6780459	10.495033	-12.35473	48.058323	2.0168796	368.67688632011414
31	-24.304497	10.278464	-11.682724	-49.56389	-12.067569	4.188536	-5.246319	-19.382784	100.0	100.0	46499	-48.187138	14.752922	-22.428137	-137.36646	-48.187107	14.7537155	-22.630173	-138.485	0.40143606	1.661221	10.719958	-10.490276	48.040905	1.9453477	380.46435022354126
32	-18.348827	7.9611826	-10.186944	-37.929813	-12.0642185	7.8665023	-1.6867167	-33.59683	100.0	100.0	47999	-48.336643	14.7627125	-22.927116	-138.15144	-48.335632	14.764199	-23.29287	-138.24751	0.37619638	1.670111	10.839926	-9.266079	48.19251	1.944222	393.09418416023254
33	-24.33682	8.165691	-11.65883	-38.54364	-16.050512	12.390229	-3.5051172	-48.542465	100.0	100.0	49499	-48.42802	14.58954	-23.282354	-138.04565	-48.42795	14.589933	-24.020132	-137.42996	0.36059016	1.6526561	10.712259	-11.511843	48.299446	1.8881716	405.59349608421326
34	-19.82014	6.2113185	-9.6580925	-31.634752	-13.464441	5.7459636	-4.4891872	-20.762148	100.0	100.0	50999	-48.52385	14.531195	-23.984144	-140.5241	-48.523373	14.533775	-24.545866	-137.78883	0.35372606	1.6434221	10.431257	-9.697029	48.400303	1.8249562	417.25149512290955
